key,value
"N",101
"baseline_npv",-0.910858972817
"be_direct","zeros(1,0)"
"be_total","zeros(1,0)"
"canister_cost_p12",16000
"canister_options","[42000 16000 4600]"
"co2_avoided_per_h2",9
"co2_per_launch",2750
"co2_rockets","[6930 6930 6930 6930 6930 6930 6930 8855 8855 18865 18865 18865 24640 24640 24640 9625 9625 9625 9625 9625 9625 9625 17325 17325 17325 77000 1116500 1116500 1578500 1578500 1001000 1001000 1001000 1001000 1001000 6930000 6930000 6930000 6930000 6930000 4620000 4620000 4620000 4620000 4620000 11550000 11550000 11550000 11550000 11550000 11550000 11550000 7700000 7700000 7700000 7700000 7700000 7700000 7700000 7700000 5775000 5775000 5775000 5775000 5775000 5775000 5775000 5775000 5775000 5775000 3850000 3850000 3850000 3850000 3850000 3850000 3850000 3850000 3850000 3850000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000 12705000]"
"contingency","[1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25 1.25]"
"cost_launch","[162 162 162 162 162 162 162 207 207 441 441 441 576 576 576 225 225 225 225 225 225 225 405 405 405 1080 15660 15660 22140 22140 14040 14040 14040 14040 14040 97200 97200 97200 97200 97200 64800 64800 64800 64800 64800 75000 75000 75000 75000 75000 75000 75000 50000 50000 50000 50000 50000 50000 50000 50000 37500 37500 37500 37500 37500 37500 37500 37500 37500 37500 25000 25000 25000 25000 25000 25000 25000 25000 25000 25000 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500]"
"cost_launch_k","[81 81 81 81 81 81 81 103.5 103.5 220.5 220.5 220.5 288 288 288 112.5 112.5 112.5 112.5 112.5 112.5 112.5 202.5 202.5 202.5 540 7830 7830 11070 11070 7020 7020 7020 7020 7020 48600 48600 48600 48600 48600 32400 32400 32400 32400 32400 37500 37500 37500 37500 37500 37500 37500 25000 25000 25000 25000 25000 25000 25000 25000 18750 18750 18750 18750 18750 18750 18750 18750 18750 18750 12500 12500 12500 12500 12500 12500 12500 12500 12500 12500 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250 41250]"
"cost_launch_old","[162 162 162 162 162 162 162 207 207 441 441 441 576 576 576 225 225 225 225 225 225 225 405 405 405 10603.44 25183.44 25183.44 31663.44 31663.44 23563.44 23563.44 23563.44 23563.44 23563.44 198755.1 198755.1 198755.1 198755.1 198755.1 166355.1 166355.1 166355.1 166355.1 166355.1 75000 75000 75000 75000 75000 75000 75000 50000 50000 50000 50000 50000 50000 50000 50000 37500 37500 37500 37500 37500 37500 37500 37500 37500 37500 25000 25000 25000 25000 25000 25000 25000 25000 25000 25000 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500 82500]"
"cost_ops","[8.1 8.1 8.1 8.1 8.1 8.1 8.1 10.35 10.35 22.05 22.05 22.05 28.8 28.8 28.8 11.25 11.25 11.25 11.25 11.25 11.25 11.25 20.25 20.25 20.25 54 783 783 1107 1107 702 702 702 702 702 4860 4860 4860 4860 4860 3240 3240 3240 3240 3240 3750 3750 3750 3750 3750 3750 3750 2500 2500 2500 2500 2500 2500 2500 2500 1875 1875 1875 1875 1875 1875 1875 1875 1875 1875 1250 1250 1250 1250 1250 1250 1250 1250 1250 1250 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125 4125]"
"cost_rd","[500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 1500 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000]"
"cost_tot_k","[589.1 589.1 589.1 589.1 589.1 589.1 589.1 613.85 613.85 742.55 742.55 742.55 816.8 816.8 816.8 623.75 623.75 623.75 623.75 623.75 623.75 623.75 722.75 722.75 722.75 1594 9613 9613 13177 13177 8727 8727 8727 8727 8727 54512 54512.4622888 54513.0314331 54513.732132 54514.5947934 36695.6568542 36696.9644045 36698.5741877 36700.5560633 36702.9960383 43266 43268.6546304 43271.7497023 43275.3582911 43279.5655968 43284.470955 43290.1901829 30546.858313 30554.632782 30563.6971473 30574.2654213 30586.5871242 30600.9531751 30617.7027607 30637.2313438 27785 27804.5229527 27826.4280659 27851.0060071 27878.5829108 27909.5247056 27944.2419704 27983.1953822 28026.901829 28075.941269 26255.9644256 26317.7014228 26386.9714729 26464.6937474 26551.8995738 26649.7461203 26759.5317512 26882.713255 27020.9251756 27176.001501 73975 74170.2295269 74389.2806589 74635.0600714 74910.8291079 75220.2470561 75567.419704 75956.9538217 76394.0182904 76884.41269 77434.6442563 78052.0142277 78744.7147289 79521.9374744 80393.995738 81372.461203 82470.3175117 83702.1325501 85084.2517556 86635.0150101 88375]"
"cost_total","[670.1 670.1 670.1 670.1 670.1 670.1 670.1 717.35 717.35 963.05 963.05 963.05 1104.8 1104.8 1104.8 736.25 736.25 736.25 736.25 736.25 736.25 736.25 925.25 925.25 925.25 2134 17443 17443 24247 24247 15747 15747 15747 15747 15747 103112 103112.462289 103113.031433 103113.732132 103114.594793 69095.6568542 69096.9644045 69098.5741877 69100.5560633 69102.9960383 80766 80768.6546304 80771.7497023 80775.3582911 80779.5655968 80784.470955 80790.1901829 55546.858313 55554.632782 55563.6971473 55574.2654213 55586.5871242 55600.9531751 55617.7027607 55637.2313438 46535 46554.5229527 46576.4280659 46601.0060071 46628.5829108 46659.5247056 46694.2419704 46733.1953822 46776.901829 46825.941269 38755.9644256 38817.7014228 38886.9714729 38964.6937474 39051.8995738 39149.7461203 39259.5317512 39382.713255 39520.9251756 39676.001501 115225 115420.229527 115639.280659 115885.060071 116160.829108 116470.247056 116817.419704 117206.953822 117644.01829 118134.41269 118684.644256 119302.014228 119994.714729 120771.937474 121643.995738 122622.461203 123720.317512 124952.13255 126334.251756 127885.01501 129625]"
"cost_total_old","[670.1 670.1 670.1 670.1 670.1 670.1 670.1 717.35 717.35 963.05 963.05 963.05 1104.8 1104.8 1104.8 736.25 736.25 736.25 736.25 736.25 736.25 736.25 925.25 925.25 925.25 11657.44 26966.44 26966.44 33770.44 33770.44 25270.44 25270.44 25270.44 25270.44 25270.44 204667.1 204667.562289 204668.131433 204668.832132 204669.694793 170650.756854 170652.064405 170653.674188 170655.656063 170658.096038 80766 80768.6546304 80771.7497023 80775.3582911 80779.5655968 80784.470955 80790.1901829 55546.858313 55554.632782 55563.6971473 55574.2654213 55586.5871242 55600.9531751 55617.7027607 55637.2313438 46535 46554.5229527 46576.4280659 46601.0060071 46628.5829108 46659.5247056 46694.2419704 46733.1953822 46776.901829 46825.941269 38755.9644256 38817.7014228 38886.9714729 38964.6937474 39051.8995738 39149.7461203 39259.5317512 39382.713255 39520.9251756 39676.001501 115225 115420.229527 115639.280659 115885.060071 116160.829108 116470.247056 116817.419704 117206.953822 117644.01829 118134.41269 118684.644256 119302.014228 119994.714729 120771.937474 121643.995738 122622.461203 123720.317512 124952.13255 126334.251756 127885.01501 129625]"
"cpt",375313.799137
