key,value
"A",316.093571803
"I",391.981115827
"Isp",450
"R",0.127557165336
"V",1000
"ap",1
"batt_Whkg",250
"batt_margin",1.2
"bkWh",820.5408
"bs","821 kWh (3.3t)"
"bt",12.0031480889
"ca","[0.92 0.65 0.15]"
"cap.mass_loaded",1360
"cb","[0.18 0.55 0.82]"
"cd","[0.18 0.42 0.72]"
"cg","[0.3 0.65 0.3]"
"charge_hr",9.23931936263
"chr",9.23931936263
"cp","[0.55 0.27 0.68]"
"cr","[0.85 0.32 0.24]"
"crater.traverse_km",8.4
"crater.floor_dia_km",6.5
"crater.floor_area",33.1830724035
"crater.ice_frac",0.0446
"cs",997400.822441
"cu_den",8960
"cu_rho",2.4e-09
"cy","[0.6 0.6 0.6]"
"d6",433804.456757
"dart.prop",12370
"ecl.mi","[0.65 1.625 3.25 5.525 11.05]"
"ecl.nd","[0.191 0.4775 0.955 1.6235 3.247]"
"ecl.hab","[3.5 14 14 14 14]"
"ecl.rob","[0.3 0.4 0.5 0.7 0.7]"
"ecl.tot","[4.641 76.0025 78.205 82.3485 89.497]"
"eclipse_hr",72
"fc",80
"fsp.pwr_kW",40
"fsp.mass_kg",6600
"g0",9.81
"g_moon",1.62
"kc",30.688
"kw_per_kghr",5.5
"lh2",106564.504533
"lox",852516.036267
"ls.eff",0.722
"ls.prop_crew",266.790776153
"m",47580.9331764
"mf",1.1
"mi.mass_dry",360
"mi.prop_yield",5692
"mi.water_rate",1.115
"mi.water_yr",7813.92
"mi.pwr.drive",300
"mi.pwr.drill",200
"mi.pwr.minivex",1200
"mi.pwr.web",15
"mi.pwr.comms",20
"mi.pwr.gbx_htr",30
"mi.pwr.drill_htr",15
"mi.pwr_op",1785
"mi.pwr_ka",65
"mi.dcdc.eff_48v",0.95
"mi.dcdc.eff_28v",0.93
"mi.dcdc.eff_5v",0.9
"mi.dcdc.load_48v",1730
"mi.dcdc.load_28v",90
"mi.dcdc.load_5v",13
"mi.dcdc.loss_48v",91.0526315789
"mi.dcdc.loss_28v",6.77419354839
"mi.dcdc.loss_5v",1.44444444444
"mi.dcdc.loss_total",99.2712695718
"mi.batt_charge",50
"mi.pwr_tether",1934.27126957
"mi.descent_hr",4.66666666667
"mi.batt_Wh",333.666666667
"mi.batt_kg",1.33466666667
"mn",77
"node.web",10.5
"node.drums",40
"node.pump",10
"node.riser",21
"node.overhead",95.5
"node.lwrhu_mass",0.126
"node.mass",160
"node_total_W",9766.85634786
"pg",45
"ph.mi","[10 25 50 85 170]"
"ph.isru","[56920 142300 284600 483820 967640]"
"ph.margin","[56920 18210.4088704 46672.6475122 50015.5432433 100031.086487]"
"ph.wyr","[78139.2 195348 390696 664183.2 1328366.4]"
"ph.whr","[8.92 22.3 44.6 75.82 151.64]"
"ph.p_fleet","[19.3427126957 48.3567817393 96.7135634786 164.413057914 328.826115827]"
"ph.p_nodes","[0.191 0.4775 0.955 1.6235 3.247]"
"ph.p_psr","[19.5337126957 108.742281739 157.576563479 225.944557914 391.981115827]"
"ph.p_elec","[49.06 122.65 245.3 417.01 834.02]"
"ph.h2hr","[0.991111111111 2.47777777778 4.95555555556 8.42444444444 16.8488888889]"
"ph.o2hr","[7.92888888889 19.8222222222 39.6444444444 67.3955555556 134.791111111]"
"ph.p_cryo","[15.0648888889 37.6622222222 75.3244444444 128.051555556 256.103111111]"
"ph.p_isru","[64.1248888889 160.312222222 320.624444444 545.061555556 1090.12311111]"
"ph.p_comms","[1.5 1.5 1.5 1.5 1.5]"
"ph.p_hab","[3.5 14 14 14 14]"
"ph.p_robots","[4.2 6.2 8.6 11.6 11.6]"
"ph.p_base","[8.7 22.2 25.6 45.6 51.6]"
"ph.p_sub","[92.3586015846 291.254503962 503.801007923 816.606113469 1533.70422694]"
"ph.p_cont","[18.4717203169 58.2509007923 100.760201585 163.321222694 306.740845388]"
"ph.p_tot","[110.830321902 349.505404754 604.561209508 979.927336163 1840.44507233]"
"ph.solar_cap","[130.388614002 411.182829122 711.248481774 1152.8556896 2165.22949685]"
"ph.panel_m2","[388.655322947 1225.63152056 2120.05097604 3436.36983784 6453.99888477]"
"ph.surplus","[19.5582921003 61.6774243683 106.687272266 172.928353441 324.784424528]"
"ph.t2_kWh","[128.249777778 320.624444444 641.248888889 1090.12311111 2180.24622222]"
"ph.t2_t","[0.512999111111 1.28249777778 2.56499555556 4.36049244444 8.72098488889]"
"ph.batt_total_kWh","[128.249777778 320.624444444 641.248888889 1293.03351111 3000.78702222]"
"ph.batt_total_t","[0.512999111111 1.28249777778 2.56499555556 5.17213404444 12.0031480889]"
"pipe.kW",59.5
"probe.prop",6654
"pump.trunk_kW",0.408
"raw",168
"s","PASS"
"short",9.497
"skip.mf",650
"skip.rng",100
"skip.v0",402.49223595
"skip.dv",1690.46739099
"skip.fuel_hop",303.278934398
"skip.hops",274
"skip.fuel_yr",83098.4280249
"skip.kreep_yr",95900
"so_bkWh",7732.5408
"so_bt",30.9301632
"solar.illum",0.85
"solar.eff",0.29
"solar.irr",1.361
"solar.eol",0.85
"sp",21
"st2","[56.92 113.84 170.76 188.97040887 207.180817741 253.853465253 300.526112765 347.198760277 397.214303521 447.229846764 497.245390007 597.276476494 697.307562981 797.338649467 897.369735954 997.400822441]"
"stk",997400.822441
"tm",8400
"ve",4414.5
"ys",20
