key,value
"angle",5.02654824574
"branch.node_spacing",450
"branch.first_offset",270
"branch_total",51480
"cor_x","[-2950 2850 2850 -2950]"
"cor_y","[-250 -250 250 250]"
"crater.floor_r",3250
"crater.floor_area",33183072.4035
"d",450
"d_branch_cable",300
"d_spine",970
"distances","[442.040722106 800.562302385 1221.22888928 442.040722106 800.562302385 1221.22888928 891.85200566 1113.9569112 1446.16734855 1829.4534703 891.85200566 1113.9569112 1446.16734855 1829.4534703 1376.73526867 1530 1786.44899172 2108.76741249 2471.31543919 1376.73526867 1530 1786.44899172 2108.76741249 2471.31543919 1869.59888746 1985.17001791 2188.92667762 2459.04452989 2776.22045234 3126.1637833 1869.59888746 1985.17001791 2188.92667762 2459.04452989 2776.22045234 3126.1637833 2365.45978617 2457.82424107 2625.1476149 2854.27749177 3131.67686711 3445.70747453 2365.45978617 2457.82424107 2625.1476149 2854.27749177 3131.67686711 3445.70747453 2862.76090514 2939.54078046 3080.81158139 3278.2464825 3522.41394501 3804.32648441 4116.23614483 2862.76090514 2939.54078046 3080.81158139 3278.2464825 3522.41394501 3804.32648441 4116.23614483 3360.86298441 3426.49967168 3548.43627532 3721.14229774 3937.9436258 4192.00429389 4476.98559301 3360.86298441 3426.49967168 3548.43627532 3721.14229774 3937.9436258 4192.00429389 4476.98559301 3859.4559202 3916.74609849 4023.85387409 4176.94864704 4371.20120791 4601.40196027 3859.4559202 3916.74609849 4023.85387409 4176.94864704 4371.20120791 4601.40196027 4358.37125541 4409.1835979 4504.59765129 4641.86384979 4817.40594096 5027.21592932 4358.37125541 4409.1835979 4504.59765129 4641.86384979 4817.40594096 5027.21592932 4857.50965002 4903.15204741 4989.12818035 5113.40395431 5273.27222889 4857.50965002 4903.15204741 4989.12818035 5113.40395431 5273.27222889 5356.80875149 5398.23119179 5476.44044978 5589.89266444 5356.80875149 5398.23119179 5476.44044978 5589.89266444 5856.2274546 5894.14115881 5965.8528309 5856.2274546 5894.14115881 5965.8528309]"
"first_junction",350
"i",124
"jid",12
"jx",2750
"k",56
"m",123
"max_clp",5965.8528309
"max_dist",2988.54479639
"max_junctions",20
"min_branch",300
"min_nn",450
"min_spine",70
"n_active",34
"n_in_phase",124
"n_total",124
"node.tether_r",200
"node.buffer",50
"node.clearance",250
"node.min_sep",430
"node.units",5
"nx",-1250
"ny",-1620
"p",5
"ph",6
"ph_id",6
"radii_test","[500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000]"
"side",-1
"spine.junction_spacing",500
"spine.branch_angle",90
"spine_end_x",2850
"spine_len",5850
"status","OK"
"too_close",0
"total_placed",124
"util_pct",46.9585798817
