key,value
"Isp",450
"b.FaceColor","ARRAY_OF_STRUCTS_SKIPPED"
"b.EdgeColor","ARRAY_OF_STRUCTS_SKIPPED"
"b.LineWidth","ARRAY_OF_STRUCTS_SKIPPED"
"b.Color","ARRAY_OF_STRUCTS_SKIPPED"
"b.DisplayName","ARRAY_OF_STRUCTS_SKIPPED"
"b.BarWidth","ARRAY_OF_STRUCTS_SKIPPED"
"b.LineStyle","ARRAY_OF_STRUCTS_SKIPPED"
"b.Marker","ARRAY_OF_STRUCTS_SKIPPED"
"b.CData","ARRAY_OF_STRUCTS_SKIPPED"
"b4.FaceColor","ARRAY_OF_STRUCTS_SKIPPED"
"b4.EdgeColor","ARRAY_OF_STRUCTS_SKIPPED"
"b4.LineWidth","ARRAY_OF_STRUCTS_SKIPPED"
"b4.Color","ARRAY_OF_STRUCTS_SKIPPED"
"b4.DisplayName","ARRAY_OF_STRUCTS_SKIPPED"
"b4.BarWidth","ARRAY_OF_STRUCTS_SKIPPED"
"b4.LineStyle","ARRAY_OF_STRUCTS_SKIPPED"
"b4.Marker","ARRAY_OF_STRUCTS_SKIPPED"
"b4.CData","ARRAY_OF_STRUCTS_SKIPPED"
"b5.FaceColor","ARRAY_OF_STRUCTS_SKIPPED"
"b5.EdgeColor","ARRAY_OF_STRUCTS_SKIPPED"
"b5.LineWidth","ARRAY_OF_STRUCTS_SKIPPED"
"b5.Color","ARRAY_OF_STRUCTS_SKIPPED"
"b5.DisplayName","ARRAY_OF_STRUCTS_SKIPPED"
"b5.BarWidth","ARRAY_OF_STRUCTS_SKIPPED"
"b5.LineStyle","ARRAY_OF_STRUCTS_SKIPPED"
"b5.Marker","ARRAY_OF_STRUCTS_SKIPPED"
"b5.CData","ARRAY_OF_STRUCTS_SKIPPED"
"bene.mass_recovery",0.04
"bene.grade_uplift",10
"bene.capacity_per_line",1000
"canister_deliver",6300
"canister_eff",0.63
"canister_retro_frac",0.32
"canister_struct_frac",0.05
"canister_total",10000
"catcher_eff",0.95
"deliver_per",9500
"demand_kg",999280178476
"earth_demand","[390000 550000 700000 850000 1000000 1200000]"
"eclipse_kW",414
"fsp.pwr_kW",40
"fsp.mass_kg",6600
"g0",9.81
"g_moon",1.62
"grade_conc",0.01
"grade_raw",1000
"h2_rate",24138270.9503
"h2_solar_wind",125000
"hab.crew_per_module",4
"hab.eclss_kW_per_crew",1.2
"i",6
"ilmenite_frac",0.05
"ilmenite_o2_yield",0.1
"isru.pwr_per_stack",51.8
"isru.cryo_lh2_per_kghr",11.9
"isru.cryo_lox_per_kghr",0.4
"j",7
"kreep.spa_mid",140
"kreep.pkt_mid",1000
"kreep_per_skip",109.6
"ls.prop_per_crew_yr",266.790776153
"md_earth_payload",3.5
"mi.water_yr",7813.92
"mi.prop_yield",5641.65024
"mi.node_units",10
"mi.pwr_tether_kW",1.934
"n_canisters",99927933
"o2_ilmenite",7812500
"o2_needed",687500
"o2_rate",193106167.603
"pct",83.3333333333
"pct_displaced","[0.000102564102564 0.0227272727273 0.142857142857 1.17647058824 10 83.3333333333]"
"ph.n",6
"ph.reo_target","[0.4 125 1000 10000 100000 1000000]"
"ph.concentrate","[357.142857143 15625 125000 1250000 12500000 125000000]"
"ph.raw_kreep","[8928.57142857 390625 3125000 31250000 312500000 3125000000]"
"ph.skip_spa","[8 8 8 8 8 8]"
"ph.skip_total","[8 3565 28513 285128 2851278 28512774]"
"ph.proc_spa","[5 5 5 5 5 5]"
"ph.proc_total","[5 313 2500 25000 250000 2500000]"
"ph.bene_spa","[2 2 2 2 2 2]"
"ph.n_probe","[30 35 40 45 50 55]"
"ph.crew_spa","[20 20 20 20 20 20]"
"ph.crew_total","[20 20 20 20 20 20]"
"ph.prop_skip_spa","[477.169964204 477.169964204 477.169964204 477.169964204 477.169964204 477.169964204]"
"ph.prop_probe","[199.62 232.89 266.16 299.43 332.7 365.97]"
"ph.prop_ls","[5.33581552306 5.33581552306 5.33581552306 5.33581552306 5.33581552306 5.33581552306]"
"ph.prop_total_spa","[682.125779727 250480.04778 2002320.42378 15068881.9358 99928525.2058 999280178.476]"
"ph.n_molei","[140 48840 390410 2938110 19483910 194838070]"
"ph.n_nodes","[14 4884 39041 293811 1948391 19483807]"
"ph.isru_supply","[789.8310336 275538.197722 2202556.6702 16575788.9866 109921405.528 1099208244.38]"
"ph.isru_margin","[107.705253873 25058.1499419 200236.246419 1506907.05087 9992880.32186 99928065.9009]"
"ph.ice_sites","[1 31 242 1819 12061 120608]"
"ph.n_pem","[3 1090 8707 65520 434492 4344889]"
"ph.pwr_elec","[155.4 56462 451022.6 3393936 22506685.6 225065250.2]"
"ph.pwr_cryo","[248.805682774 91362.7092851 730347.268754 5496381.41542 36448974.1941 364487891.35]"
"ph.pwr_psr","[270.76 94456.56 755052.94 5682304.74 37681881.94 376816827.38]"
"ph.pwr_hab","[74 74 74 74 74 74]"
"ph.pwr_proc_spa","[900 900 900 900 900 900]"
"ph.pwr_iz","[65 67.5 70 72.5 75 77.5]"
"ph.pwr_bene_spa","[54 54 54 54 54 54]"
"ph.pwr_raw_spa","[1767.96568277 243376.769285 1937520.80875 14573722.6554 96638644.7341 966371074.43]"
"ph.pwr_spa","[2121.55881933 292052.123142 2325024.97051 17488467.1865 115966373.681 1159645289.32]"
"ph.solar_m2","[6650.65460605 915523.896997 7288479.53136 54822781.1489 363530951.978 3635251690.65]"
"ph.n_fsp_spa","[11 11 11 11 11 11]"
"ph.pwr_sentinel_pkt","[5 35.8 254.5 2504.5 25004.5 250004.5]"
"ph.hab_modules","[5 5 5 5 5 5]"
"ph.elz_pads_spa","[4 101 793 7537 49966 499642]"
"ph.probe_pads","[4 4 4 5 5 5]"
"ph.skip_pads_spa","[2 2 2 2 2 2]"
"ph.collars","[9 11 12 14 15 17]"
"ph.ss_crew_rotation","[2 2 2 2 2 2]"
"ph.ss_spa","[3 3 3 3 3 3]"
"probe.prop",6654
"proc.extraction_eff",0.8
"proc.circuit_capacity",50
"proc.power_per_circuit",180
"proc.reagent_per_circuit",49
"proc.water_per_circuit",8
