key,value,source,comparable
Ab,2.82743338823e-05,matlab_r2025a;octave_agrees,yes
G_eff,[0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.0497619917246 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138 0.125119004138],matlab_r2025a;octave_agrees,yes
G_needed,0.1,matlab_r2025a;octave_agrees,yes
G_total_shunted,0.125119004138,matlab_r2025a;octave_agrees,yes
Gc,0.0365996034147,matlab_r2025a;octave_agrees,yes
Gd,0.0530357526529,matlab_r2025a;octave_agrees,yes
Gs,0.075357012413,matlab_r2025a;octave_agrees,yes
Gweb,0.0497619917246,matlab_r2025a;octave_agrees,yes
Htr,4.98168871967,matlab_r2025a;octave_agrees,yes
Lm,0.1,matlab_r2025a;octave_agrees,yes
N,5,octave_8_4_only(matlab_v2.0_dropped),yes
N250,11,matlab_r2025a;octave_agrees,yes
Ni,10,octave_8_4_only(matlab_v2.0_dropped),yes
Nl,4,octave_8_4_only(matlab_v2.0_dropped),yes
Nlw,8,octave_8_4_only(matlab_v2.0_dropped),yes
Nr,[4 5 6 7 8 9 10],octave_8_4_only(matlab_v2.0_dropped),yes
P28_load,90,matlab_r2025a;octave_agrees,yes
P28_loss,6.77419354839,matlab_r2025a;octave_agrees,yes
P48_load,1730,matlab_r2025a;octave_agrees,yes
P48_loss,91.0526315789,matlab_r2025a;octave_agrees,yes
P5_load,13,matlab_r2025a;octave_agrees,yes
P5_loss,1.44444444444,matlab_r2025a;octave_agrees,yes
Pbatt_charge,50,matlab_r2025a;octave_agrees,yes
Pload,1785,matlab_r2025a;octave_agrees,yes
Ploss_dcdc,99.2712695718,matlab_r2025a;octave_agrees,yes
Ptether,1934.27126957,matlab_r2025a;octave_agrees,yes
QA,1.93859589045,matlab_r2025a;octave_agrees,yes
QA1,1.18855296182,matlab_r2025a;octave_agrees,yes
QA2,0.750042928632,matlab_r2025a;octave_agrees,yes
QB,0.0541742871564,matlab_r2025a;octave_agrees,yes
QC_20,0.0962353609,matlab_r2025a;octave_agrees,yes
QC_22,0.1816953339,matlab_r2025a;octave_agrees,yes
QC_28,0.22873547556,matlab_r2025a;octave_agrees,yes
QC_30,0.02273978412,matlab_r2025a;octave_agrees,yes
QCv,0.52940595448,matlab_r2025a;octave_agrees,yes
QD,0.0380946462121,matlab_r2025a;octave_agrees,yes
QE,2.5,matlab_r2025a;octave_agrees,yes
QF,1.79350180207,matlab_r2025a;octave_agrees,yes
QG,1.67393501526,matlab_r2025a;octave_agrees,yes
QH,0.391172459634,matlab_r2025a;octave_agrees,yes
Q_in_drill,23.8,matlab_r2025a;octave_agrees,yes
Qcc_Mn,0.03159936,matlab_r2025a;octave_agrees,yes
Qcf_PK,3.22704397377,matlab_r2025a;octave_agrees,yes
Qch_full,3.34787003053,matlab_r2025a;octave_agrees,yes
Qco,8.52770759563,matlab_r2025a;octave_agrees,yes
Qi,4.4,matlab_r2025a;octave_agrees,yes
Qlw,8.8,matlab_r2025a;octave_agrees,yes
Qmar,2.67566401658,matlab_r2025a;octave_agrees,yes
Qmd,0.977931149085,matlab_r2025a;octave_agrees,yes
Qstrap,7.23775728,matlab_r2025a;octave_agrees,yes
Qsub,8.91888005526,matlab_r2025a;octave_agrees,yes
Qtd,12.3573303681,matlab_r2025a;octave_agrees,yes
Qtot,11.5945440718,matlab_r2025a;octave_agrees,yes
Qv,[1.93859589045 0.0541742871564 0.52940595448 0.0380946462121 2.5 1.79350180207 1.67393501526 0.391172459634],matlab_r2025a;octave_agrees,yes
Qvc,2.29896654457,matlab_r2025a;octave_agrees,yes
Qvl,0.0338176383806,matlab_r2025a;octave_agrees,yes
Qvm,0.732463583822,matlab_r2025a;octave_agrees,yes
Qvx_draw,3.06524776677,matlab_r2025a;octave_agrees,yes
Qvx_loss,3.06524776677,matlab_r2025a;octave_agrees,yes
Qw_drill,15,matlab_r2025a;octave_agrees,yes
RB,4300.93338058,matlab_r2025a;octave_agrees,yes
Rbo,382.484523028,matlab_r2025a;octave_agrees,yes
Rw,430.055509868,matlab_r2025a;octave_agrees,yes
T0,274.436487535,matlab_r2025a;octave_differs,yes
T12,267.059035461,matlab_r2025a;octave_agrees,yes
T200,274.99815603,matlab_r2025a;octave_differs,yes
T24,261.471852312,matlab_r2025a;octave_agrees,yes
T48,251.268755447,matlab_r2025a;octave_agrees,yes
T6,269.983784127,matlab_r2025a;octave_agrees,yes
T72,274.998257127,matlab_r2025a;octave_differs,yes
TAll.max,278.003323315,matlab_r2025a;octave_differs,platform_dependent_ode
TAll.mean,276.255032468,matlab_r2025a;octave_differs,platform_dependent_ode
TAll.min,273,matlab_r2025a;octave_agrees,platform_dependent_ode
TAll.numel,19354,matlab_r2025a;octave_differs,platform_dependent_ode
TAll.sum,5346639.89838,matlab_r2025a;octave_differs,platform_dependent_ode
TNS.max,303.709844912,matlab_r2025a;octave_agrees,platform_dependent_ode
TNS.mean,296.200185082,matlab_r2025a;octave_differs,platform_dependent_ode
TNS.min,273,matlab_r2025a;octave_agrees,platform_dependent_ode
TNS.numel,16198,matlab_r2025a;octave_differs,platform_dependent_ode
TNS.sum,4797850.59796,matlab_r2025a;octave_differs,platform_dependent_ode
TWS.max,278.003323315,matlab_r2025a;octave_differs,platform_dependent_ode
TWS.mean,276.255032468,matlab_r2025a;octave_differs,platform_dependent_ode
TWS.min,273,matlab_r2025a;octave_agrees,platform_dependent_ode
TWS.numel,19354,matlab_r2025a;octave_differs,platform_dependent_ode
TWS.sum,5346639.89838,matlab_r2025a;octave_differs,platform_dependent_ode
