key,value,source,comparable
CIRCUIT_DESIGN,3,octave_8_4_only(matlab_v2.0_dropped),yes
N,201,matlab_r2025a;octave_agrees,yes
active_armc,20,matlab_r2025a;octave_agrees,yes
active_sinter,50,matlab_r2025a;octave_agrees,yes
armc.mass_kg,1500,matlab_r2025a;octave_agrees,yes
axc,[0.05 0.08 0.12],matlab_r2025a;octave_agrees,yes
baseline_npv,-0.49099449094,matlab_r2025a;octave_agrees,yes
be_total,"zeros(1,0)",matlab_r2025a;octave_agrees,yes
can.earth_kg,28,matlab_r2025a;octave_agrees,yes
can.reo_payload_t,3.5,matlab_r2025a;octave_agrees,yes
cargo_construction_fleet,[10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 10.3333333333 14.3713333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 14.0413333333 14.0413333333 14.2913333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 10.3413333333 14.2913333333 14.0413333333 14.2913333333 14.0413333333 14.2913333333 14.2913333333 14.5413333333 14.3793333333 14.5493333333 14.5493333333 14.5493333333 14.6373333333 14.8073333333 17.0953333333 17.0153333333 17.3533333333 17.5233333333 19.8113333333 20.0693333333 21.8273333333 24.3733333333 24.5513333333 27.3473333333 31.3133333333 31.8293333333 31.3453333333 31.3613333333 34.4153333333 36.6393333333 40.8633333333 43.6753333333 47.9073333333 50.8893333333 54.9593333333 60.4873333333 67.0233333333 73.7293333333 81.0233333333 87.8253333333 97.0853333333 106.691333333 118.337333333 129.797333333 145.505333333 161.809333333 74.1233333333 78.1373333333 80.4893333333 83.0113333333 87.0333333333 89.1433333333 93.1733333333 95.7913333333 101.779333333 104.155333333 107.951333333 112.785333333 116.427333333 122.689333333 127.289333333 138.109333333 145.055333333 151.591333333 156.965333333 163.759333333 132.139333333 138.659333333 141.567333333 145.895333333 150.761333333 155.347333333 162.059333333 165.073333333 171.793333333 178.65 181.994666667 189.006 196.355333333 203.712666667 209.428 216.801333333 224.182666667 234.080666667 241.22 248.955333333 258.877333333 268.975333333 276.316666667 286.680666667 296.472666667 306.684666667 318.560666667 328.796666667 339.208666667 353.295333333 363.981333333 378.342 391.060666667 405.775333333 418.856 433.514666667 448.357333333 463.994666667 481.04 496.172666667 306.641333333 312.444666667 317.309333333 324.440666667 332.16 337.737333333 344.884666667 352.708 359.871333333 365.972666667 373.232 380.911333333 388.516666667 398.308666667 405.93 413.391333333 423.537333333 431.344666667 438.91 449.168 571.05 586.262666667 603.42 616.838666667 633.938 649.376666667 666.59 684.399333333 701.812666667 719.574 737.431333333 757.489333333 775.636666667 797.296666667 817.910666667 838.460666667 860.426666667 881.346666667 905.699333333 928.309333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333 43.6693333333],matlab_r2025a;octave_agrees,yes
