key,value,source,comparable
CH4_sab_A,0.9674125,matlab_r2025a;octave_agrees,yes
CH4_sab_B,1.45203373016,matlab_r2025a;octave_agrees,yes
CH4_sab_C,0.856487162009,matlab_r2025a;octave_agrees,yes
CO2_crew,4,matlab_r2025a;octave_agrees,yes
CO2_per_CM,1,matlab_r2025a;octave_agrees,yes
CO2_remaining_A,1.345646875,matlab_r2025a;octave_agrees,yes
CO2_remaining_B,0.0159598214286,matlab_r2025a;octave_agrees,yes
CO2_remaining_C,1.65,matlab_r2025a;octave_agrees,yes
CO2_sab_A,2.654353125,matlab_r2025a;octave_agrees,yes
CO2_sab_B,3.98404017857,matlab_r2025a;octave_agrees,yes
CO2_sab_C,2.35,matlab_r2025a;octave_agrees,yes
D_enclosing,9,matlab_r2025a;octave_agrees,yes
D_fairing,8,matlab_r2025a;octave_agrees,yes
D_module,4.5,matlab_r2025a;octave_agrees,yes
GH_CO2_high,1.9,matlab_r2025a;octave_agrees,yes
GH_CO2_low,1.4,matlab_r2025a;octave_agrees,yes
GH_CO2_nom,1.65,matlab_r2025a;octave_agrees,yes
GH_O2_nom,1.2,matlab_r2025a;octave_agrees,yes
H2O_OGA_A,2.173059375,matlab_r2025a;octave_agrees,yes
H2O_balance_A,4.019459375,matlab_r2025a;octave_agrees,yes
H2O_balance_B,5.10804434524,matlab_r2025a;octave_agrees,yes
H2O_balance_C,3.77029229721,matlab_r2025a;octave_agrees,yes
H2O_consumed_OGA_A,4.34611875,matlab_r2025a;octave_agrees,yes
H2O_consumed_OGA_B,6.52328869048,matlab_r2025a;octave_agrees,yes
H2O_consumed_OGA_C,3.84778459441,matlab_r2025a;octave_agrees,yes
H2O_crew,20,matlab_r2025a;octave_agrees,yes
H2O_per_CM,5,matlab_r2025a;octave_agrees,yes
H2O_recoverable_per_CM,4.88,matlab_r2025a;octave_agrees,yes
H2O_sab_A,2.173059375,matlab_r2025a;octave_agrees,yes
H2O_sab_B,3.26164434524,matlab_r2025a;octave_agrees,yes
H2O_sab_C,1.92389229721,matlab_r2025a;octave_agrees,yes
H2_OGA_A,0.48636,matlab_r2025a;octave_agrees,yes
H2_OGA_B,0.73,matlab_r2025a;octave_agrees,yes
H2_OGA_C,0.430593047035,matlab_r2025a;octave_agrees,yes
H2_per_day,407.481582699,matlab_r2025a;octave_agrees,yes
H2_total,148730.777685,matlab_r2025a;octave_agrees,yes
H_stacked,22,matlab_r2025a;octave_agrees,yes
