key,value,source,comparable
Isp,450,matlab_r2025a;octave_agrees,yes
bene.line_cap,1000,matlab_r2025a;octave_agrees,yes
bene.recovery,0.04,matlab_r2025a;octave_agrees,yes
bene.uplift,10,matlab_r2025a;octave_agrees,yes
canisters_in_flight,218016,matlab_r2025a;octave_agrees,yes
catapult.canister_empty,500,matlab_r2025a;octave_agrees,yes
catapult.canister_kg,5000,matlab_r2025a;octave_agrees,yes
catapult.canister_payload,4500,matlab_r2025a;octave_agrees,yes
catapult.launches_hr,6,matlab_r2025a;octave_agrees,yes
catapult.pwr_MW,5,matlab_r2025a;octave_agrees,yes
catapult.pwr_return_MW,0.5,matlab_r2025a;octave_agrees,yes
catapult.range_km,100,matlab_r2025a;octave_agrees,yes
catapult.throughput_yr,189216,matlab_r2025a;octave_agrees,yes
catapult.v_launch,500,matlab_r2025a;octave_agrees,yes
demand_kg,12765869.3971,matlab_r2025a;octave_agrees,yes
earth_ree,[390000 550000 700000 850000 1000000 1200000],matlab_r2025a;octave_agrees,yes
eclipse_kW,414,matlab_r2025a;octave_agrees,yes
fab.canister_cycles_yr,11680,matlab_r2025a;octave_agrees,yes
fab.canister_life_cycles,10000,matlab_r2025a;octave_agrees,yes
fab.hauler_earth_frac,0.08,matlab_r2025a;octave_agrees,yes
fab.hauler_life_yr,10,matlab_r2025a;octave_agrees,yes
fab.hauler_local_frac,0.92,matlab_r2025a;octave_agrees,yes
fleet_growth,267857.2,matlab_r2025a;octave_agrees,yes
fleet_replace,148810,matlab_r2025a;octave_agrees,yes
fsp.kW,40,matlab_r2025a;octave_agrees,yes
g0,9.81,matlab_r2025a;octave_agrees,yes
g_moon,1.62,matlab_r2025a;octave_agrees,yes
grade,1000,matlab_r2025a;octave_agrees,yes
grade_conc,0.01,matlab_r2025a;octave_agrees,yes
h2_sw,125000,matlab_r2025a;octave_agrees,yes
hab.crew_mod,4,matlab_r2025a;octave_agrees,yes
hab.eclss_kW,1.2,matlab_r2025a;octave_agrees,yes
hauler.avail,0.8,matlab_r2025a;octave_agrees,yes
hauler.payload,5000,matlab_r2025a;octave_agrees,yes
hauler.pwr_kW,5,matlab_r2025a;octave_agrees,yes
hauler.range_km,30,matlab_r2025a;octave_agrees,yes
hauler.speed,1,octave_8_4_only(matlab_v2.0_dropped),yes
hauler.throughput,2100,matlab_r2025a;octave_agrees,yes
hauler.trip_hr,16.6666666667,matlab_r2025a;octave_agrees,yes
hauler.trips_yr,420,matlab_r2025a;octave_agrees,yes
i,6,matlab_r2025a;octave_agrees,yes
ice.depth_m,10,matlab_r2025a;octave_agrees,yes
ice.frac,0.0446,matlab_r2025a;octave_agrees,yes
ice.rho,1550,matlab_r2025a;octave_agrees,yes
ice_demand_kg,17681259.5527,matlab_r2025a;octave_agrees,yes
kreep.pkt_mid,1000,matlab_r2025a;octave_agrees,yes
kreep.spa_mid,140,matlab_r2025a;octave_agrees,yes
kreep_per_skip,109.6,matlab_r2025a;octave_agrees,yes
ls.prop_yr,266.790776153,matlab_r2025a;octave_agrees,yes
md.catcher_eff,0.95,matlab_r2025a;octave_agrees,yes
md.earth_canister_reo,3.5,matlab_r2025a;octave_agrees,yes
md.retro_eff,0.63,matlab_r2025a;octave_agrees,yes
md.tanker_eff,0.474158368895,matlab_r2025a;octave_agrees,yes
mi.node,10,matlab_r2025a;octave_agrees,yes
mi.prop_yield,5641.65024,matlab_r2025a;octave_agrees,yes
mi.pwr_kW,1.934,matlab_r2025a;octave_agrees,yes
mi.water_yr,7813.92,matlab_r2025a;octave_agrees,yes
o2_ilm,7812500,matlab_r2025a;octave_agrees,yes
other_crater.floor_km2,15,matlab_r2025a;octave_agrees,yes
other_crater.ice_yr,207390000,matlab_r2025a;octave_agrees,yes
pct,[0.000102564102564 0.0227272727273 0.142857142857 1.17647058824 10 83.3333333333],matlab_r2025a;octave_agrees,yes
pgm.demand,[0.001 0.005 0.05 0.2 1 5],octave_8_4_only(matlab_v2.0_dropped),yes
pgm_needed,5000,matlab_r2025a;octave_agrees,yes
pgm_per_probe,17.5,matlab_r2025a;octave_agrees,yes
ph.bene_total,[9 391 3125 31250 312500 3125000],matlab_r2025a;octave_agrees,yes
ph.concentrate,[357.142857143 15625 125000 1250000 12500000 125000000],matlab_r2025a;octave_agrees,yes
ph.crew,[20 20 20 20 20 20],matlab_r2025a;octave_agrees,yes
ph.elz_spa,[4 42 319 4 4 4],matlab_r2025a;octave_agrees,yes
ph.fsp_spa,[11 11 11 11 11 11],matlab_r2025a;octave_agrees,yes
ph.hab_mod,[5 5 5 5 5 5],matlab_r2025a;octave_agrees,yes
ph.ice_sites,[1 1 7 1 1 1],octave_8_4_only(matlab_v2.0_dropped),yes
ph.isru_supply,[1015.4970432 276384.445258 2204700.49729 1523.2455648 2764.4086176 12806.5460448],matlab_r2025a;octave_agrees,yes
ph.margin,[93.3712634731 25145.9479689 200446.430492 157.909749277 279.072802077 1201.21022928],matlab_r2025a;octave_agrees,yes
ph.n,6,matlab_r2025a;octave_agrees,yes
ph.n_molei,[180 48990 390790 270 490 2270],matlab_r2025a;octave_agrees,yes
ph.n_nodes,[18 4899 39079 27 49 227],matlab_r2025a;octave_agrees,yes
ph.n_pem,[3 789 6292 5 8 37],matlab_r2025a;octave_agrees,yes
ph.n_probe,[30 96 30 30 58 286],matlab_r2025a;octave_agrees,yes
ph.ore_t1,[8482.14285714 351562.5 2656250 21875000 125000000 468750000],matlab_r2025a;octave_agrees,yes
ph.ore_t2,[446.428571429 31250 375000 7812500 109375000 937500000],matlab_r2025a;octave_agrees,yes
ph.pgm_output,[0.001575 0.00504 0.525 0.525 1.015 5.005],matlab_r2025a;octave_agrees,yes
ph.pkt_transport,Surface Hauler,matlab_r2025a;octave_agrees,yes
ph.probe_prop_each,[6654 6654 40000 40000 40000 40000],matlab_r2025a;octave_agrees,yes
ph.proc_spa,[5 5 5 5 5 5],matlab_r2025a;octave_agrees,yes
ph.proc_total,[5 313 2500 25000 250000 2500000],matlab_r2025a;octave_agrees,yes
ph.prop_crew_return,[160 160 160 160 160 160],matlab_r2025a;octave_agrees,yes
ph.prop_ls,[5.33581552306 5.33581552306 5.33581552306 5.33581552306 5.33581552306 5.33581552306],matlab_r2025a;octave_agrees,yes
ph.prop_probe,[199.62 638.784 1200 1200 2320 11440],matlab_r2025a;octave_agrees,yes
ph.prop_total,[922.125779727 251238.497289 2004254.0668 1365.33581552 2485.33581552 11605.3358155],matlab_r2025a;octave_agrees,yes
ph.pwr_cryo,[242.841660345 66163.6136473 527819.952586 359.560944569 654.512745685 3056.2631262],matlab_r2025a;octave_agrees,yes
ph.pwr_elec,[155.4 40870.2 325925.6 259 414.4 1916.6],matlab_r2025a;octave_agrees,yes
ph.pwr_hab,[74 74 74 74 74 74],matlab_r2025a;octave_agrees,yes
ph.pwr_iz,[65 98 65 65 79 193],matlab_r2025a;octave_agrees,yes
ph.pwr_proc_spa,[900 900 900 900 900 900],matlab_r2025a;octave_agrees,yes
ph.pwr_psr,[348.12 94746.66 755787.86 522.18 947.66 4390.18],matlab_r2025a;octave_agrees,yes
