key,value
"T",100
"bcr_commercial",0.000891925517359
"bcr_hybrid",0.00607706547334
"capex_annual","[2513500000 2513500000 7052350000 4538850000 2785000000 2785000000 2785000000 521100000 521100000 465210000 465210000 465210000 484380000 484380000 484380000 372357000 372357000 372357000 372357000 372357000 372357000 372357000 372357000 372357000 372357000 16593800000 16593800000 16593800000 16593800000 16593800000 16593800000 16593800000 16593800000 16593800000 16593800000 110972300000 110972300000 110972300000 110972300000 110972300000 110972300000 110972300000 110972300000 110972300000 110972300000 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 186532433333 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 875027300000 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 8.969215825e+12 0]"
"capex_per_yr",8.969215825e+12
"capex_phase",1.793843165e+14
"carbon_cost_yr",24824184000
"cashflow","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"cont",0.25
"cont_mult",1.3
"contingency.early",0.5
"contingency.mid",0.35
"contingency.late",0.25
"cost_mult",1.3
"crew.cost_per_person_yr",5000000
"crew.rotation_flights",2
"crew_cost",100000000
"crew_flight_cost",400000000
"cumcf_commercial","[-3913500000 -7827000000 -17680186000 -23619872000 -27805429333.3 -31990986666.7 -36176544000 -39328898000 -42481252000 -45597576666.7 -48713901333.3 -51830226000 -54975720666.7 -58121215333.3 -61266710000 -66126900200 -70987090400 -75847280600 -80707470800 -85567661000 -90427851200 -95288041400 -100148231600 -105008421800 -109868612000 -187933198324 -265997784648 -344062370971 -422126957295 -500191543619 -578256129943 -656320716267 -734385302590 -812449888914 -890514475238 -1.47421706473e+12 -2.05791965423e+12 -2.64162224372e+12 -3.22532483322e+12 -3.80902742271e+12 -4.39273001221e+12 -4.97643260171e+12 -5.5601351912e+12 -6.1438377807e+12 -6.72754037019e+12 -7.26873347774e+12 -7.8099265853e+12 -8.35111969285e+12 -8.8923128004e+12 -9.43350590796e+12 -9.97469901551e+12 -1.05158921231e+13 -1.10570852306e+13 -1.15982783382e+13 -1.21394714457e+13 -1.26806645533e+13 -1.32218576608e+13 -1.37630507684e+13 -1.43042438759e+13 -1.48454369835e+13 -1.68992299339e+13 -1.89530228844e+13 -2.10068158349e+13 -2.30606087853e+13 -2.51144017358e+13 -2.71681946862e+13 -2.92219876367e+13 -3.12757805871e+13 -3.33295735376e+13 -3.5383366488e+13 -3.74371594385e+13 -3.94909523889e+13 -4.15447453394e+13 -4.35985382898e+13 -4.56523312403e+13 -4.77061241908e+13 -4.97599171412e+13 -5.18137100917e+13 -5.38675030421e+13 -5.59212959926e+13 -6.96026807667e+13 -8.32840655408e+13 -9.69654503149e+13 -1.10646835089e+14 -1.24328219863e+14 -1.38009604637e+14 -1.51690989411e+14 -1.65372374185e+14 -1.7905375896e+14 -1.92735143734e+14 -2.06416528508e+14 -2.20097913282e+14 -2.33779298056e+14 -2.4746068283e+14 -2.61142067604e+14 -2.74823452378e+14 -2.88504837152e+14 -3.02186221927e+14 -3.15867606701e+14 -3.29548991475e+14 -3.29548991475e+14]"
