key,value
"CIRCUIT_DESIGN",3
"N",201
"Y","[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200]"
"active_armc",20
"active_sinter",50
"armc.mass_kg",1500
"armc_needed","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 3 3 3 4 4 5 5 6 6 7 8 9 10 11 12 13 15 17 19 8 9 9 9 10 10 11 11 12 12 13 13 14 15 15 16 17 18 18 19 15 16 16 17 17 18 19 19 20 21 21 22 23 24 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 41 42 44 45 47 48 50 52 53 55 57 35 35 36 37 38 38 39 40 41 41 42 43 44 45 46 47 48 49 50 51 65 67 69 70 72 74 76 78 80 82 84 86 88 91 93 95 98 100 103 106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"axc","[0.05 0.08 0.12]"
"baseline_npv",-0.49099449094
"be_total","zeros(1,0)"
"build",0
"can.reo_payload_t",3.5
"can.earth_kg",28
"can_25","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 44 55 67 83 102 125 154 189 233 286 334 389 453 528 616 718 837 976 1138 1327 1547 1803 2102 2451 2858 3206 3597 4036 4529 5081 5701 6397 7177 8053 9036 10138 11375 12763 14320 16067 18028 20228 22696 25465 28572 29911 31314 32782 34318 35927 37611 39375 41220 43153 45176 47294 49511 51832 54262 56806 59469 62256 65175 68230 71429 73948 76556 79255 82050 84944 87939 91041 94251 97575 101016 104578 108266 112084 116037 120129 124365 128751 133291 137991 142858 149555 156566 163906 171590 179634 188055 196871 206100 215763 225877 236467 247552 259158 271307 284026 297341 311280 325873 341150 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143 357143]"
"canisters_yr","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 44 55 67 83 102 125 154 189 233 286 334 389 453 528 616 718 837 976 1138 1327 1547 1803 2102 2451 2858 3206 3597 4036 4529 5081 5701 6397 7177 8053 9036 10138 11375 12763 14320 16067 18028 20228 22696 25465 28572 29911 31314 32782 34318 35927 37611 39375 41220 43153 45176 47294 49511 51832 54262 56806 59469 62256 65175 68230 71429 73948 76556 79255 82050 84944 87939 91041 94251 97575 101016 104578 108266 112084 116037 120129 124365 128751 133291 137991 142858 147895 153111 158510 164100 169887 175878 182081 188502 195149 202031 209156 216531 224167 232073 240257 248729 257501 266581 275982 285715 291566 297538 303631 309850 316195 322671 329279 336023 342905 349928 357094 364408 371871 379487 387259 395190 403283 411542 419971 428572 439659 451033 462702 474672 486952 499549 512473 525730 539331 553284 567597 582281 597345 612799 628652 644915 661599 678715 696273 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286 714286]"
"captured_asteroid_pgm","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5 36.5]"
"cargo_armc","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 1.5 1.5 1.5 0 0 0 0 0 0 0 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 3 3 3 3 4.5 4.5 4.5 4.5 4.5 4.5 6 6 7.5 7.5 9 9 10.5 12 13.5 15 16.5 18 19.5 22.5 25.5 28.5 12 13.5 13.5 13.5 15 15 16.5 16.5 18 18 19.5 19.5 21 22.5 22.5 24 25.5 27 27 28.5 22.5 24 24 25.5 25.5 27 28.5 28.5 30 31.5 31.5 33 34.5 36 36 37.5 39 40.5 42 43.5 45 46.5 48 49.5 51 52.5 55.5 57 58.5 61.5 63 66 67.5 70.5 72 75 78 79.5 82.5 85.5 52.5 52.5 54 55.5 57 57 58.5 60 61.5 61.5 63 64.5 66 67.5 69 70.5 72 73.5 75 76.5 97.5 100.5 103.5 105 108 111 114 117 120 123 126 129 132 136.5 139.5 142.5 147 150 154.5 159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
