key,value
"A",380.339459803
"I",471.651115827
"Isp",450
"R",0.106010562304
"V",1000
"ap",1
"avail",6
"b_len",51480
"batt_Whkg",250
"batt_data","[0 3579.336 4739.472 6407.2944 7704.0288 128.249777778 320.624444444 641.248888889 1090.12311111 2180.24622222]"
"batt_margin",1.2
"bkWh",7704.0288
"bs","7704 kWh (30.8t)"
"bt",39.5371000889
"ca","[0.92 0.65 0.15]"
"cap.peak_kW",5
"cap.stby_kW",1
"cap.mass_loaded",1360
"cb","[0.18 0.55 0.82]"
"cd","[0.18 0.42 0.72]"
"cg","[0.3 0.65 0.3]"
"charge_hr",28.930512451
"chr",28.930512451
"cp","[0.55 0.27 0.68]"
"cr","[0.85 0.32 0.24]"
"crater.traverse_km",8.4
"crater.floor_dia_km",6.5
"crater.floor_area",33.1830724035
"crater.ice_frac",0.0446
"cs",997400.822441
"cu_den",8960
"cu_rho",2.4e-09
"cy","[0.6 0.6 0.6]"
"d6",433804.456757
"dart.prop",12370
"delta",45.93
"ecl.mi","[0.65 1.625 3.25 5.525 11.05]"
"ecl.nd","[0.191 0.4775 0.955 1.6235 3.247]"
"ecl.pipe","[44.46 104.925 116.15 131.31 139.17]"
"ecl.hab","[3.5 14 14 14 14]"
"ecl.rob","[0.3 0.4 0.5 0.7 0.7]"
"ecl.cap","[0 0 0 1 1]"
"ecl.tot","[49.101 121.4275 134.855 154.1585 169.167]"
"ecl.nfsp","[2 2 2 2 2]"
"ecl.bkWh","[0 3579.336 4739.472 6407.2944 7704.0288]"
"ecl.bt","[0 14.317344 18.957888 25.6291776 30.8161152]"
"eclipse_hr",72
"ez","[0.65 1.625 3.25 5.525 11.05 0.191 0.4775 0.955 1.6235 3.247 44.46 104.925 116.15 131.31 139.17 3.5 14 14 14 14 0.3 0.4 0.5 1.7 1.7]"
"fc",80
"fsp.pwr_kW",40
"fsp.mass_kg",6600
"fsp_threshold",40
"g0",9.81
"g_moon",1.62
"i",5
"isru_ride_hr",2
"j",1
"kc",30.688
"kw_per_kghr",5.5
"lh2",106564.504533
"lox",852516.036267
"ls.eff",0.722
"ls.prop_crew",266.790776153
"m",57251.7382052
"mf",1.1
"mi.mass_dry",360
"mi.n_wheels",6
"mi.prop_yield",5692
"mi.water_rate",1.115
"mi.water_yr",7813.92
"mi.pwr.drive",300
"mi.pwr.drill",200
"mi.pwr.minivex",1200
"mi.pwr.web",15
"mi.pwr.comms",20
"mi.pwr.gbx_htr",30
"mi.pwr.drill_htr",15
"mi.pwr.recept",5
"mi.pwr.vex_stby",0
"mi.pwr_op",1785
"mi.pwr_ka",65
"mi.dcdc.eff_48v",0.95
"mi.dcdc.eff_28v",0.93
"mi.dcdc.eff_5v",0.9
"mi.dcdc.load_48v",1730
"mi.dcdc.load_28v",90
"mi.dcdc.load_5v",13
"mi.dcdc.loss_48v",91.0526315789
"mi.dcdc.loss_28v",6.77419354839
"mi.dcdc.loss_5v",1.44444444444
"mi.dcdc.loss_total",99.2712695718
"mi.batt_charge",50
"mi.pwr_tether",1934.27126957
"mi.descent_hr",4.66666666667
"mi.batt_Wh",333.666666667
"mi.batt_kg",1.33466666667
"mn",77
"needed",34
"nf",2
"node.units",5
"node.web",10.5
"node.drums",40
"node.pump",10
"node.riser",21
"node.funnels",3
"node.comms",3
"node.controller",5
"node.solenoids",3
"node.overhead",95.5
"node.lwrhu",3
"node.lwrhu_mass",0.126
"node.mass",160
"node_total_W",9766.85634786
"p",5
"pg",45
"ph.n",5
"ph.dur","[3 2 3 3 5]"
"ph.nP","[3 6 10 15 30]"
"ph.nS","[0 1 2 4 8]"
"ph.nD","[0 0 1 1 0]"
"ph.crew","[0 4 4 6 12]"
"ph.dP","[0 39924 66540 99810 199620]"
"ph.dS","[0 83098.4280249 166196.85605 332393.7121 664787.4242]"
"ph.dD","[0 0 4123.33333333 0 0]"
