key,value
"all_nodes","[-2750 -2750 -2750 -2750 -2750 -2750 -2250 -2250 -2250 -2250 -2250 -2250 -2250 -2250 -1750 -1750 -1750 -1750 -1750 -1750 -1750 -1750 -1750 -1750 -1250 -1250 -1250 -1250 -1250 -1250 -1250 -1250 -1250 -1250 -1250 -1250 -750 -750 -750 -750 -750 -750 -750 -750 -750 -750 -750 -750 -250 -250 -250 -250 -250 -250 -250 -250 -250 -250 -250 -250 -250 -250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 750 750 750 750 750 750 750 750 750 750 750 750 1250 1250 1250 1250 1250 1250 1250 1250 1250 1250 1250 1250 1750 1750 1750 1750 1750 1750 1750 1750 1750 1750 2250 2250 2250 2250 2250 2250 2250 2250 2750 2750 2750 2750 2750 2750 270 720 1170 -270 -720 -1170 270 720 1170 1620 -270 -720 -1170 -1620 270 720 1170 1620 2070 -270 -720 -1170 -1620 -2070 270 720 1170 1620 2070 2520 -270 -720 -1170 -1620 -2070 -2520 270 720 1170 1620 2070 2520 -270 -720 -1170 -1620 -2070 -2520 270 720 1170 1620 2070 2520 2970 -270 -720 -1170 -1620 -2070 -2520 -2970 270 720 1170 1620 2070 2520 2970 -270 -720 -1170 -1620 -2070 -2520 -2970 270 720 1170 1620 2070 2520 -270 -720 -1170 -1620 -2070 -2520 270 720 1170 1620 2070 2520 -270 -720 -1170 -1620 -2070 -2520 270 720 1170 1620 2070 -270 -720 -1170 -1620 -2070 270 720 1170 1620 -270 -720 -1170 -1620 270 720 1170 -270 -720 -1170 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 11 11 11 11 11 11 11 11 12 12 12 12 12 12 1 1 1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 1 1 1 1 1 -1 -1 -1 -1 -1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 -1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 1 2 3 1 2 3 1 2 3 4 1 2 3 4 1 2 3 4 5 1 2 3 4 5 1 2 3 4 5 6 1 2 3 4 5 6 1 2 3 4 5 6 1 2 3 4 5 6 1 2 3 4 5 6 7 1 2 3 4 5 6 7 1 2 3 4 5 6 7 1 2 3 4 5 6 7 1 2 3 4 5 6 1 2 3 4 5 6 1 2 3 4 5 6 1 2 3 4 5 6 1 2 3 4 5 1 2 3 4 5 1 2 3 4 1 2 3 4 1 2 3 1 2 3 1 1 2 2 2 3 3 3 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6]"
"angle",5.02654824574
"branch.node_spacing",450
"branch.first_offset",270
"branch_cable_pts","[2750 2750 2750 2750 0 -270 -720 -1170]"
"branch_info","[1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 3 3 4 4 5 5 6 6 6 6 7 7 7 7 6 6 6 6 5 5 4 4 3 3]"
"branch_nodes","[2750 2750 2750 2750 2750 2750 270 720 1170 -270 -720 -1170 12 12 12 12 12 12 1 1 1 -1 -1 -1 1 2 3 1 2 3 6 6 6 6 6 6]"
"branch_total",51480
"clp","[-3100 0]"
"cor_x","[-2950 2850 2850 -2950]"
