key,value
"C_r",5.39e-10
"C_s",8.95e-08
"G_2x",0.0255259494521
"G_cond",0.00897824698715
"G_cond_wall",0.00897824698715
"G_d",0.0171279892971
"G_opt",0.0138542283688
"G_opt_val",0.0138542283688
"I_op",1.852
"N",8
"N_L",20
"N_lwrhu",8
"N_lwrhu_range","[4 5 6 7 8]"
"N_min",3
"N_test",3
"P_IR",0.317828942085
"Q_cond_2x",4.57503555564
"Q_cond_only",2.091931548
"Q_heater",0
"Q_in",8.8
"Q_in_t",8.8
"Q_lwrhu",8.8
"Q_mli_d",0.977931149085
"Q_mli_floor",0.195586229817
"Q_mli_real",0.391172459634
"Q_req",3.22803520993
"Q_tot_2x",5.94754622234
"Q_tot_d",3.99082150622
"R_PEEK",3621.5200831
"R_Ti1",339.706648742
"R_Ti2",339.706648742
"R_bolt",382.484523028
"R_drain_total",4300.93338058
"R_mn",0.0926640926641
"R_path2",1242.59554276
"R_washer",430.055509868
"T_cold",40
"T_cold_wall",25
"T_end_w",273.59755351
"T_eq",384.747215633
"T_eq_N",278.194427878
"T_eq_f",278.194427878
"T_eq_floor",675.185141009
"T_eq_map","[384.747215633 370.613249207 357.592570504 345.558628326 334.403351902 324.033896311 314.370052288 305.342167405 296.889464588 470.934019541 453.266561509 436.99071313 421.948285407 408.004189878 395.042370389 382.96256536 371.677709257 361.111830736 557.12082345 535.919873811 516.388855756 498.337942489 481.605027854 466.050844467 451.555078432 438.013251108 425.334196883 643.307627358 618.573186113 595.786998382 574.72759957 555.205865829 537.059318545 520.147591504 504.348792959 489.55656303 729.494431266 701.226498415 675.185141009 651.117256652 628.806703805 608.067792623 588.740104576 570.684334811 553.778929177]"
"T_eq_w",263.194427878
"T_eq_wall",660.185141009
"T_final",292.842060234
"T_hot",273
"T_init",273
"T_plot","[20 21.4070351759 22.8140703518 24.2211055276 25.6281407035 27.0351758794 28.4422110553 29.8492462312 31.256281407 32.6633165829 34.0703517588 35.4773869347 36.8844221106 38.2914572864 39.6984924623 41.1055276382 42.5125628141 43.9195979899 45.3266331658 46.7336683417 48.1407035176 49.5477386935 50.9547738693 52.3618090452 53.7688442211 55.175879397 56.5829145729 57.9899497487 59.3969849246 60.8040201005 62.2110552764 63.6180904523 65.0251256281 66.432160804 67.8391959799 69.2462311558 70.6532663317 72.0603015075 73.4673366834 74.8743718593 76.2814070352 77.6884422111 79.0954773869 80.5025125628 81.9095477387 83.3165829146 84.7236180905 86.1306532663 87.5376884422 88.9447236181 90.351758794 91.7587939698 93.1658291457 94.5728643216 95.9798994975 97.3869346734 98.7939698492 100.201005025 101.608040201 103.015075377 104.422110553 105.829145729 107.236180905 108.64321608 110.050251256 111.457286432 112.864321608 114.271356784 115.67839196 117.085427136 118.492462312 119.899497487 121.306532663 122.713567839 124.120603015 125.527638191 126.934673367 128.341708543 129.748743719 131.155778894 132.56281407 133.969849246 135.376884422 136.783919598 138.190954774 139.59798995 141.005025126 142.412060302 143.819095477 145.226130653 146.633165829 148.040201005 149.447236181 150.854271357 152.261306533 153.668341709 155.075376884 156.48241206 157.889447236 159.296482412 160.703517588 162.110552764 163.51758794 164.924623116 166.331658291 167.738693467 169.145728643 170.552763819 171.959798995 173.366834171 174.773869347 176.180904523 177.587939698 178.994974874 180.40201005 181.809045226 183.216080402 184.623115578 186.030150754 187.43718593 188.844221106 190.251256281 191.658291457 193.065326633 194.472361809 195.879396985 197.286432161 198.693467337 200.100502513 201.507537688 202.914572864 204.32160804 205.728643216 207.135678392 208.542713568 209.949748744 211.35678392 212.763819095 214.170854271 215.577889447 216.984924623 218.391959799 219.798994975 221.206030151 222.613065327 224.020100503 225.427135678 226.834170854 228.24120603 229.648241206 231.055276382 232.462311558 233.869346734 235.27638191 236.683417085 238.090452261 239.497487437 240.904522613 242.311557789 243.718592965 245.125628141 246.532663317 247.939698492 249.346733668 250.753768844 252.16080402 253.567839196 254.974874372 256.381909548 257.788944724 259.195979899 260.603015075 262.010050251 263.417085427 264.824120603 266.231155779 267.638190955 269.045226131 270.452261307 271.859296482 273.266331658 274.673366834 276.08040201 277.487437186 278.894472362 280.301507538 281.708542714 283.115577889 284.522613065 285.929648241 287.336683417 288.743718593 290.150753769 291.557788945 292.964824121 294.371859296 295.778894472 297.185929648 298.592964824 300]"
"T_sol.numel",4801
"T_sol.sum",1358729.16161
"T_sol.min",273
"T_sol.max",292.842060234
"T_sol.mean",283.009614998
"T_targets","[250 260 273]"
"T_w","[273 273.004152804 273.008305565 273.012458281 273.016610954 273.020763584 273.024916169 273.029068711 273.033221209 273.037373664 273.041526075 273.045678442 273.049830765 273.053983045 273.058135281 273.062287473 273.066439621 273.070591726 273.074743787 273.078895804 273.083047778 273.087199708 273.091351594 273.095503437 273.099655235 273.10380699 273.107958702 273.112110369 273.116261993 273.120413573 273.12456511 273.128716603 273.132868051 273.137019457 273.141170818 273.145322136 273.14947341 273.15362464 273.157775827 273.16192697 273.166078069 273.170229125 273.174380136 273.178531104 273.182682028 273.186832909 273.190983746 273.195134539 273.199285288 273.203435994 273.207586655 273.211737274 273.215887848 273.220038379 273.224188865 273.228339309 273.232489708 273.236640064 273.240790376 273.244940644 273.249090868 273.253241049 273.257391186 273.261541279 273.265691329 273.269841334 273.273991296 273.278141215 273.282291089 273.28644092 273.290590707 273.29474045 273.29889015 273.303039806 273.307189418 273.311338986 273.31548851 273.319637991 273.323787428 273.327936822 273.332086171 273.336235477 273.340384739 273.344533957 273.348683132 273.352832262 273.356981349 273.361130393 273.365279392 273.369428348 273.37357726 273.377726128 273.381874953 273.386023733 273.39017247 273.394321163 273.398469813 273.402618418 273.40676698 273.410915498 273.415063973 273.419212403 273.42336079 273.427509133 273.431657433 273.435805688 273.4399539 273.444102068 273.448250192 273.452398273 273.456546309 273.460694302 273.464842251 273.468990157 273.473138018 273.477285836 273.48143361 273.48558134 273.489729027 273.49387667 273.498024269 273.502171824 273.506319335 273.510466803 273.514614227 273.518761607 273.522908943 273.527056236 273.531203484 273.535350689 273.539497851 273.543644968 273.547792042 273.551939071 273.556086057 273.560233 273.564379898 273.568526753 273.572673564 273.576820331 273.580967054 273.585113734 273.589260369 273.593406961 273.59755351]"
"T_wall",25
"Tt",273
"X","[4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8]"
"Y","[1 1.5 2 2.5 3 3.5 4 4.5 5 1 1.5 2 2.5 3 3.5 4 4.5 5 1 1.5 2 2.5 3 3.5 4 4.5 5 1 1.5 2 2.5 3 3.5 4 4.5 5 1 1.5 2 2.5 3 3.5 4 4.5 5]"
"base.A_bolt",2.82743338823e-05
"base.L_bolt",0.02
"base.n_bolt",4
"base.Q_bolts",4.87339980516
"base.drain_OD",0.02
"base.drain_t",0.0015
"base.drain_ID",0.017
"base.drain_A",8.71791961371e-05
"base.drain_L",0.08
"base.Q_drain",2.07373645864
"base.wire_A",5.18e-07
"base.wire_L",0.05
"base.n_wire",2
"base.Q_wire",2.34365642397
"base.vex_OD",0.01
"base.vex_t",0.001
"base.vex_A",2.82743338823e-05
"base.vex_L",0.06
"base.Q_vex",0.896750901034
"base.sig_A",8.1e-08
"base.sig_n",6
"base.sig_L",0.05
"base.Q_sig",1.09943727997
"base.Q_A",4.87339980516
"base.Q_B",2.07373645864
"base.Q_C",2.34365642397
"base.Q_D",0.896750901034
"base.Q_E",1.09943727997
"base.Q_MLI",0.391172459634
"base.Q_sub",11.6781533284
"base.margin_pct",0.3
"base.Q_margin",3.50344599852
"base.Q_total",15.1815993269
"ca","[0.92 0.65 0.15]"
"cb","[0.18 0.55 0.82]"
"cg","[0.3 0.65 0.3]"
"colors","[0.066 0.866 0.929 0.521 0.231 0.184 0.443 0.329 0.694 0.086 0.666 0.745 0.745 0 0.125 0.819 0.196 0.937]"
"cp","[0.55 0.27 0.68]"
"cr","[0.85 0.32 0.24]"
"dT",233
