key,value
"CH4_sab_A",0.9674125
"CH4_sab_B",1.45203373016
"CH4_sab_C",0.856487162009
"CO2_crew",4
"CO2_per_CM",1
"CO2_remaining_A",1.345646875
"CO2_remaining_B",0.0159598214286
"CO2_remaining_C",1.65
"CO2_sab_A",2.654353125
"CO2_sab_B",3.98404017857
"CO2_sab_C",2.35
"D_enclosing",9
"D_fairing",8
"D_module",4.5
"GH_CO2_high",1.9
"GH_CO2_low",1.4
"GH_CO2_nom",1.65
"GH_O2_nom",1.2
"H2O_OGA_A",2.173059375
"H2O_balance_A",4.019459375
"H2O_balance_B",5.10804434524
"H2O_balance_C",3.77029229721
"H2O_consumed_OGA_A",4.34611875
"H2O_consumed_OGA_B",6.52328869048
"H2O_consumed_OGA_C",3.84778459441
"H2O_crew",20
"H2O_per_CM",5
"H2O_recoverable_per_CM",4.88
"H2O_sab_A",2.173059375
"H2O_sab_B",3.26164434524
"H2O_sab_C",1.92389229721
"H2_OGA_A",0.48636
"H2_OGA_B",0.73
"H2_OGA_C",0.430593047035
"H2_per_day",407.481582699
"H2_total",148730.777685
"H_stacked",22
"LH2_30day",11365.9491194
"LH2_DART",2142.85714286
"LH2_total",13508.8062622
"L_fairing",22
"L_module",11
"M_CH4",16.04
"M_CO2",44.01
"M_H2",2.016
"M_H2O",18.015
"M_O2",32
"M_module_max",23000
"M_starship_lunar",50000
"O2_OGA_A",3.86
"O2_OGA_B",5.79365079365
"O2_OGA_C",3.4174051352
"O2_crew",3.36
"O2_per_CM",0.84
"O2_surplus_A",1.7
"O2_surplus_B",3.63365079365
"O2_surplus_C",1.2574051352
"O2_total",1180402.9975
"P_ISRU_total",1627.41234702
"P_LH2_liq",254.675989187
"P_LOX_liq",101.870395675
"P_OGA_A",1.0639125
"P_OGA_B",1.596875
"P_OGA_C",0.941922290389
"P_electrolysis_new",891.365962155
"P_kW",976.257958551
"P_other",30
"P_pipeline",59.5
"P_purification",15
"P_sublimation",275
"R_inner",2100
"V_needed",190.802348337
"V_sphere",65.4498469498
"V_target",87.5
"WRS_recovered",18.1536
"WRS_recovery",0.93
"ceiling_y",2100
"chord_berth",2939.38769134
"chord_floor",2465.76560119
"chord_mezz",4079.21561087
"d_needed",5.50811683353
"d_sphere",5
"h_2920",3209.43698113
"headroom_above_mezz",1600
"headroom_below_mezz",2200
"i",4
"kWh_per_kg_H2","[50 52.5 55 57.5]"
"mol_CO2_A",60.3125
"mol_CO2_B",90.5257936508
"mol_CO2_C",53.3969552374
"mol_H2_A",241.25
"mol_H2_B",362.103174603
"mol_H2_C",213.58782095
"n_MI",170
"n_crew",4
"n_stacks",17
"prop_from_H2",1041115.4438
"prop_from_O2",1377136.83042
"rho_LH2",70.8
"total_water",1329060
"usable_prop",1041115.4438
"water_per_MI",7818
"water_yr",968000
"y_2920",1509.43698113
"y_berth_head",1500
"y_floor",-1700
"y_mezz",500
