family,winner_file,winner_rev,winner_batch_date,n_files,superseded_revs,status
1_2_propellant_econ_prefab,1_2_propellant_econ_prefab_v3_2.docx,v3.2,2026-03-08,1,,REFERENCE
49069_2026_syd_aut_task_3_discussionboard,49069_2026_SYD_AUT_Task_3_DiscussionBoard.pdf,-,2026-04-01,1,,OUT_OF_SCOPE
49069_syd_2026_aut_-_lecture_05_-_persuasionnegotiation,49069_SYD_2026_AUT_-_Lecture_05_-_PersuasionNegotiation__1_.pdf,-,2026-04-01,1,,OUT_OF_SCOPE
9789047419464-13074,9789047419464-13074.pdf,-,2026-02-28,1,,OUT_OF_SCOPE
annual_processed_output_by_phase,annual_processed_output_by_phase.jpg,-,2026-03-03,1,,FIGURE
arm_d_3d_render,arm_d_3d_render_v1.html,v1,2026-03-15,1,,AUTHORITATIVE
artifact1_submission,artifact1_submission.html,-,2026-02-22,1,,OUT_OF_SCOPE
artifact2_pitch,artifact2_pitch_updated.html,-+,2026-02-22,2,-,OUT_OF_SCOPE
artifact2_pitch_edited,artifact2_pitch_edited.html,-,2026-02-22,1,,OUT_OF_SCOPE
artifact3_semester,artifact3_semester.html,-,2026-02-22,1,,OUT_OF_SCOPE
asteroid_cba,asteroid_cba.html,-,2026-02-22,1,,AUTHORITATIVE
base_layout,base_layout.pptx,-,2026-03-08,1,,AUTHORITATIVE
cochlear_form-f17b,Cochlear_form-f17b.docx,-,2026-04-05,1,,EXCLUDED
compass_artifact_wf-0de39b9e,compass_artifact_wf-0de39b9e.md,-,2026-04-04,1,,REFERENCE
compass_artifact_wf-0ed1ff48,compass_artifact_wf-0ed1ff48.md,-,2026-04-04,1,,REFERENCE
compass_artifact_wf-2ccba0e0,compass_artifact_wf-2ccba0e0.md,-,2026-04-04,1,,REFERENCE
compass_artifact_wf-489c50ff,compass_artifact_wf-489c50ff.md,-,2026-04-04,1,,REFERENCE
compass_artifact_wf-d62dc23b,compass_artifact_wf-d62dc23b.md,-,2026-04-04,1,,REFERENCE
compass_artifact_wf-d64817b5,compass_artifact_wf-d64817b5.md,-,2026-04-04,1,,REFERENCE
compass_artifact_wf-fe9fecf5,compass_artifact_wf-fe9fecf5.md,-,2026-04-04,1,,REFERENCE
conductor_tables,conductor_tables.jsx,-,2026-03-09,1,,AUTHORITATIVE
conductor_tables_reference,conductor_tables_reference.html,-,2026-03-09,1,,AUTHORITATIVE
construction_phasing_gantt,W5_T4_4_JS_construction_phasing_gantt.html,-,2026-04-20,4,,AUTHORITATIVE
ecn-018,ECN-018_InSitu_Reagent_Fabrication_PGM.md,-,2026-04-04,2,,AUTHORITATIVE
ecn-019,ECN-019_Programme_Wide_Design_Revision.md,-,2026-04-04,3,,AUTHORITATIVE
evaluation_strategy,evaluation_strategy.txt,-,2026-02-22,1,,OUT_OF_SCOPE
expansion_p4_p7,W5_T4_4_JS_expansion_P4_P7.html,-,2026-04-20,4,,AUTHORITATIVE
fleet_count_p3top7,W5_T4_3_JS_fleet_count_P3toP7.html,-,2026-04-20,3,,AUTHORITATIVE
fleet_specs_summary,W5_T4_3_JS_fleet_specs_summary.html,-,2026-04-20,4,,AUTHORITATIVE
hauler_spec_update_brief,HAULER_SPEC_UPDATE_BRIEF.md,-,2026-04-05,1,,REFERENCE
high_level_base_layout,high_level_base_layout_v2.png,v2,2026-03-09,2,-,FIGURE
how_pitch,how_pitch_v2.docx,v2,2026-02-22,2,-,OUT_OF_SCOPE
internationalspacegovernance_v1_0_2026-02-28,W2_T1_6_JS_InternationalSpaceGovernance_v1_0_2026-02-28.docx,-,2026-02-28,1,,TEAM_INPUT
ishola-et-al-2021-legal-enforceability,ishola-et-al-2021-legal-enforceability.pdf,-,2026-02-28,1,,OUT_OF_SCOPE
iter-iss_v1_0_2026_02_28,W2_T1_2_JS_ITER-ISS_v1_0_2026_02_28.docx,-,2026-02-28,1,,TEAM_INPUT
jstewart_-_selenite_pitch,JSTEWART_-_Selenite_pitch.docx,-,2026-03-01,2,,OUT_OF_SCOPE
milestone_reference,W5_T4_4_JS_milestone_reference.html,-,2026-04-20,5,,AUTHORITATIVE
mole-i_yield_sensitivity,mole-i_yield_sensitivity.jpg,-,2026-03-03,1,,FIGURE
mole_i_3d_render,mole_i_3d_render_v2.html,v2,2026-03-15,4,-,AUTHORITATIVE
mole_i_design,mole_i_design_v3.jsx,v3,2026-03-09,1,,AUTHORITATIVE
molei_iso,MOLEI_ISO.png,-,2026-03-09,1,,FIGURE
molei_thermal,MOLEI_THERMAL_v1_3.m,v1.3,2026-03-09,5,v1 v1.1 v1.2,AUTHORITATIVE
mtl,W2_T1_1_JS_MTL_v8_5.html,v8.5,2026-03-11,13,- v2 v3 v4 v5 v6 v8.1 v8.2 v8.3 v8.4,AUTHORITATIVE
mtl_bar_hovers,MTL_bar_hovers.docx,-,2026-03-01,1,,AUTHORITATIVE
mtl_guide,MTL_GUIDE_v18_revised.docx,v18+,2026-04-05,23,- v11 v12 v14 v15 v16 v17 v17+ v18 v4,AUTHORITATIVE
pitch_madma,pitch_madma.html,-,2026-02-22,1,,OUT_OF_SCOPE
pitch_madma-js-laptop,pitch_madma-JS-laptop.html,-,2026-02-22,1,,OUT_OF_SCOPE
pitch_selection_louis_reard_group,pitch_selection_louis_reard_group-2.pdf,-,2026-03-01,3,,OUT_OF_SCOPE
power_budget,power_budget.jpg,-,2026-03-03,1,,FIGURE
probe_concept_brief,W6_T5_7_JS_PROBE_Concept_Brief.docx,-,2026-04-01,1,,AUTHORITATIVE
probe_ops_3d_render,probe_ops_3d_render_v1.html,v1,2026-04-20,3,,AUTHORITATIVE
probe_propellant_vs_deltav,probe_propellant_vs_deltaV.jpg,-,2026-03-03,1,,FIGURE
propellant_balance_by_phase,propellant_balance_by_phase.jpg,-,2026-03-03,1,,FIGURE
sabatier,sabatier.m,-,2026-03-11,2,,AUTHORITATIVE
scaling_p7_p12,W5_T4_4_JS_scaling_P7_P12.html,-,2026-04-20,4,,AUTHORITATIVE
scaling_p7_p14,W5_T4_4_JS_scaling_P7_P14.html,-,2026-04-12,1,,AUTHORITATIVE
sel-cad-ac-001,SEL-CAD-AC-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-ad-001,SEL-CAD-AD-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-dt-001,SEL-CAD-DT-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-elz-001,SEL-CAD-ELZ-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-hab-001,SEL-CAD-HAB-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-hv-001,SEL-CAD-HV-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-isru-001,updated_SEL-CAD-ISRU-001_RevA.docx,Rev A+,2026-03-11,3,Rev A,AUTHORITATIVE
sel-cad-iz-001,updated_SEL-CAD-IZ-001_RevA.docx,Rev A+,2026-03-11,3,Rev A,AUTHORITATIVE
sel-cad-ms-001,SEL-CAD-MS-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-pb-001,SEL-CAD-PB-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-ps-001,SEL-CAD-PS-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-pz-001,SEL-CAD-PZ-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-se-001,SEL-CAD-SE-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-sk-001,SEL-CAD-SK-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cad-sn-001,SEL-CAD-SN-001_RevA.docx,Rev A,2026-03-11,1,,AUTHORITATIVE
sel-cap-001,SEL-CAP-001_RevA_updated.docx,Rev A+,2026-04-12,2,Rev A,AUTHORITATIVE
sel-catapult-001,SEL-CATAPULT-001_RevB.docx,Rev B,2026-04-12,3,Rev A,AUTHORITATIVE
sel-con-001,SEL-CON-001_RevB_updated.docx,Rev B+,2026-04-12,2,Rev B,AUTHORITATIVE
sel-conveyor-001,SEL-CONVEYOR-001_RevA.docx,Rev A,2026-04-12,1,,AUTHORITATIVE
sel-eclss-001,SEL-ECLSS-001_RevB.docx,Rev B,2026-04-12,2,Rev A,AUTHORITATIVE
sel-eclss-002,SEL-ECLSS-002_RevB.docx,Rev B,2026-04-12,4,Rev A Rev A+,AUTHORITATIVE
sel-eclss-scaling-001,SEL-ECLSS-SCALING-001_RevB.docx,Rev B,2026-04-12,3,Rev A Rev A+,AUTHORITATIVE
sel-ecn-012,SEL-ECN-012_DrainPipeReroute_v1.docx,v1,2026-03-15,2,,AUTHORITATIVE
sel-ecn-013,SEL-ECN-013_Navigation_ARMfix_RFconstruction_v1.docx,v1,2026-03-10,1,,AUTHORITATIVE
sel-ecn-020,SEL-ECN-020_MassDriver_ParallelTracks.md,-,2026-04-12,1,,AUTHORITATIVE
sel-econ-001,SEL-ECON-001_RevA_revised.docx,Rev A+,2026-04-12,3,Rev A,AUTHORITATIVE
sel-econ-001-report,SEL-ECON-001_Economic_Evaluation_Report__1_.md,-,2026-04-05,2,,AUTHORITATIVE
sel-elz-001,updated_SEL-ELZ-001_RevA.docx,Rev A+,2026-03-11,2,Rev A,AUTHORITATIVE
sel-fab-001,SEL-FAB-001_RevA.docx,Rev A,2026-04-12,1,,AUTHORITATIVE
sel-fp-hab-001,SEL-FP-HAB-001_RevB.html,Rev B,2026-03-15,1,,AUTHORITATIVE
sel-hab-001,updated_SEL-HAB-001_RevD.docx,Rev D+,2026-03-11,6,Rev A Rev B Rev D,AUTHORITATIVE
sel-hab-wall-xsection-001,SEL-HAB-WALL-XSECTION-001_1.html,-,2026-03-15,1,,AUTHORITATIVE
sel-hauler-001,SEL-HAULER-001_RevB.docx,Rev B,2026-04-12,2,Rev A,AUTHORITATIVE
sel-isru-001,SEL-ISRU-001_RevD_updated.docx,Rev D+,2026-04-12,7,Rev A Rev C Rev D,AUTHORITATIVE
sel-iz-001,SEL-IZ-001_RevB.docx,Rev B,2026-04-12,5,Rev A Rev A+,AUTHORITATIVE
sel-molei-mkii-001,SEL-MOLEI-MkII-001_RevA.docx,Rev A,2026-04-12,1,,AUTHORITATIVE
sel-nav-001,SEL-NAV-001_MOLEI_Navigation_RevA.docx,Rev A,2026-03-10,1,,AUTHORITATIVE
sel-pipe-001,SEL-PIPE-001_RevA.docx,Rev A,2026-03-11,2,,AUTHORITATIVE
sel-power-001,SEL-POWER-001_RevB.docx,Rev B,2026-04-12,4,Rev A Rev A+,AUTHORITATIVE
sel-probe-mkii-001,SEL-PROBE-MkII-001_RevA.docx,Rev A,2026-04-12,1,,AUTHORITATIVE
sel-probe-mkiii-001,SEL-PROBE-MkIII-001_RevA.docx,Rev A,2026-04-12,1,,AUTHORITATIVE
sel-proc-001,SEL-PROC-001_RevB.docx,Rev B,2026-04-12,3,Rev A,AUTHORITATIVE
sel-proc-pkt-001,SEL-PROC-PKT-001_RevB.docx,Rev B,2026-04-12,4,Rev A,AUTHORITATIVE
sel-reagent-001,SEL-REAGENT-001_RevA.docx,Rev A,2026-04-12,1,,AUTHORITATIVE
sel-sw-molei-001,SEL-SW-MOLEI-001_RevD.docx,Rev D,2026-03-10,3,Rev A Rev B,AUTHORITATIVE
sel-sw-sentinel-001,SEL-SW-SENTINEL-001_RevB.docx,Rev B,2026-04-12,2,Rev A,AUTHORITATIVE
